name,genre,type,episodes,rating,members
5412.0,2687.0,1.0,1.0,9.37,200630.0
2848.0,162.0,6.0,64.0,9.26,793665.0
3346.0,535.0,6.0,51.0,9.25,114262.0
10259.0,3241.0,6.0,24.0,9.17,673572.0
3337.0,535.0,6.0,51.0,9.16,151266.0
3620.0,1819.0,6.0,10.0,9.15,93351.0
4297.0,364.0,6.0,148.0,9.13,425855.0
3277.0,2624.0,4.0,110.0,9.11,80679.0
3334.0,535.0,1.0,1.0,9.1,72534.0
3338.0,535.0,6.0,13.0,9.11,81109.0
1675.0,2493.0,6.0,24.0,9.06,456749.0
5600.0,2714.0,1.0,1.0,9.05,102733.0
3332.0,535.0,6.0,201.0,9.04,336376.0
1713.0,778.0,6.0,25.0,8.98,572888.0
3619.0,1819.0,6.0,25.0,8.93,179342.0
9446.0,1505.0,1.0,1.0,8.93,466254.0
9593.0,2631.0,6.0,22.0,8.92,416397.0
7290.0,1527.0,6.0,10.0,8.88,75894.0
8062.0,2868.0,1.0,1.0,8.84,226193.0
1709.0,1061.0,6.0,25.0,8.83,715151.0
3639.0,1828.0,6.0,75.0,8.83,157670.0
9046.0,741.0,4.0,4.0,8.83,129307.0
1792.0,35.0,6.0,26.0,8.82,486824.0
7989.0,609.0,6.0,12.0,8.82,552458.0
7163.0,217.0,1.0,1.0,8.81,339556.0
10420.0,2206.0,1.0,1.0,8.81,240297.0
7160.0,2207.0,6.0,26.0,8.8,205959.0
7289.0,1527.0,6.0,10.0,8.8,101351.0
7287.0,1527.0,6.0,26.0,8.78,300030.0
10692.0,107.0,6.0,27.0,8.78,562962.0
3482.0,1817.0,6.0,43.0,8.77,268487.0
7465.0,2499.0,6.0,13.0,8.76,38865.0
3643.0,1828.0,6.0,26.0,8.75,88995.0
7292.0,1527.0,1.0,1.0,8.75,32266.0
7467.0,2499.0,6.0,13.0,8.75,98431.0
4281.0,1442.0,1.0,1.0,8.74,333186.0
2687.0,939.0,6.0,12.0,8.73,340973.0
5543.0,1135.0,1.0,1.0,8.73,34347.0
7167.0,2565.0,6.0,74.0,8.72,247562.0
822.0,1808.0,6.0,25.0,8.71,133620.0
2016.0,3147.0,6.0,37.0,8.71,1013917.0
3347.0,2215.0,4.0,2.0,8.69,16947.0
505.0,631.0,6.0,25.0,8.68,176475.0
3614.0,1819.0,6.0,25.0,8.68,284498.0
3644.0,1828.0,6.0,25.0,8.68,66756.0
5138.0,803.0,1.0,1.0,8.68,111074.0
7466.0,2499.0,6.0,13.0,8.67,102322.0
8442.0,3191.0,6.0,11.0,8.67,97187.0
7288.0,1527.0,5.0,1.0,8.66,49036.0
1113.0,3153.0,6.0,12.0,8.65,402381.0
11937.0,3150.0,6.0,11.0,8.65,122531.0
617.0,2860.0,6.0,13.0,8.64,56162.0
5043.0,1702.0,4.0,4.0,8.64,33422.0
8811.0,2557.0,6.0,26.0,8.64,139474.0
8854.0,2486.0,6.0,25.0,8.64,355839.0
10694.0,1097.0,1.0,1.0,8.64,82253.0
12234.0,2499.0,6.0,13.0,8.64,114173.0
489.0,2744.0,6.0,11.0,8.62,463835.0
5862.0,2308.0,6.0,25.0,8.62,184525.0
10261.0,3241.0,1.0,1.0,8.61,192424.0
4259.0,2700.0,1.0,1.0,8.61,197439.0
9831.0,2774.0,6.0,24.0,8.61,348951.0
12087.0,2353.0,6.0,12.0,8.61,103178.0
3345.0,535.0,1.0,2.0,8.6,11104.0
4764.0,208.0,6.0,24.0,8.6,93657.0
